Department Name,Address:,Specification,Brand,Model No,Serial No,Warranty Period,Category
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2506440,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2504444,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2505268,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2506582,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2507406,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2508724,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2509726,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2507616,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2507044,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2509344,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2506874,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2506892,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2505736,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2506326,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2501922,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L250878,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2508430,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2509646,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2508512,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2508182,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2508576,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2507418,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2508468,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2506568,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2505900,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2509638,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2506936,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2506365,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2504113,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2505601,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2506481,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2508163,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2506779,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2506327,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2509173,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2508993,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2505753,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2508537,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2508483,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2508385,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2507423,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2506439,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2504443,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2505267,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2506581,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2507405,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2508723,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2509725,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2507615,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2507043,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2509343,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2506873,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2506891,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2505735,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2506325,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2501921,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L250877,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2508429,3 Years,UPS
